Time of Occurrence,Latitude,Longitude, SST,Chlorophyll a, par,Cells per litre,Day of year,Temperature,Dew point Temperature,Sea level pressure(hPa),Visibility(mi),Wind Speed(knots),Max Temperature(°F),rrsdiff,a_443,a_488,a_547,a_645,a_667,a_678,bb_443,bb_469,adg_443,angstrom
08-01-2009,35.333056,129.333056,2.605,16.71858,19.894,13000000,8,38.4,10.7,1023.2,8.2,6,50.4,??,,,,,,,,,,1.0216
30-05-2009,37,125,16.42,0.93706,63.508,6500000,150,64.9,49.9,1006.2,11.2,15.5,78.8,0.03334,0.1233,0.0691,0.0717,0.3316,0.4404,0.4675,0.00433,0.00374,0.1049,1.4455
23-08-2009,34,128,28.535,0.33268,55.506,10000000,235,77.6,62,1010.7,11.2,9.9,84.6,??,,,,,,,,,,
25-08-2009,37,130,25.895,1.20485,55.056,14000000,237,72.7,62.5,1012.1,14.4,8.9,77.9,0.0235,0.0806,0.0568,0.0659,0.3346,0.4491,0.4772,0.00504,0.00437,0.0367,2.1361
26-08-2009,34,128,28.535,0.33268,55.506,15000000,238,77.7,67.6,1009.6,11.7,9.9,81.7,0.02955,0.053,0.0406,0.0602,0.3306,0.4414,0.4689,0.00372,0.00312,0.0249,1.9321
09-06-2010,34,128,16,0.42156,63.978,50000000,160,70.7,51.6,1015.7,11.2,8,77.2,0.01108,0.0634,0.0438,0.0621,0.3303,0.4401,0.4674,0.00447,0.00382,0.0408,1.2498
27-06-2010,43.065278,131.946944,21.325,18.055,64.372,309120000,178,69,65.8,1006.3,15.1,13.6,80.1,??,,,,,,,,,,
26-07-2011,38.708056,-77.593611,33.18,,61.426,335000000,207,84.2,65.1,9999.9,9.3,12,93.2,??,,,,,,,,,,
23-03-2012,13.166667,-87.9,28.855,9.542,57.506,215000000,83,90.1,67.5,1014,10.3,9.9,96.8,0.06449,0.3465,0.2275,0.1419,0.3957,0.5718,0.6112,0.04421,0.04226,0.0857,1.2445
19-04-2012,-13.835556,-76.262778,21.925,19.1213?76.05276?,50.19,31000000,110,71.3,64.2,1012.4,5.6,16.9,82.8,0.04082,0.9326,0.5275,0.3069,0.4828,0.7306,0.785,0.07165,0.06996,0.4927,1.6369
05-06-2012,34,128,21.135,0.35898??,63.706,45000000,157,72.6,64.6,1005.8,12,12,79.2,0.03489,0.0656,0.0408,0.0624,0.3283,0.4352,0.4621,0.00331,0.00275,0.0578,1.6793
21-07-2012,36.980556,-7.821944,21.94,6.78278,62.71,11203964,203,79.8,55.5,9999.9,6.8,17.5,97.5,0.02427,0.1723,0.1123,0.0901,0.352,0.4846,0.5159,0.00972,0.00894,0.0669,0.6961
28-07-2012,51.624167,3.99,20.33,6.09199,57.078,13000000,210,63.5,59.6,1009.1,9.6,9.7,70.3,??,,,,,,,,,,
28-07-2012,34,129,27.09,0.24963,61.052,23000000,210,85,76,1009.8,26.3,12,91.6,0.04064,0.0426,0.0346,0.0585,0.3295,0.4393,0.4666,0.00374,0.00313,0.0197,0.9961
01-08-2012,37.007778,-76.8775,,,,75780000,214,76.5,69,1011.9,8.3,6,88,??,,,,,,,,,,
04-08-2012,37.373889,-76.306667,31.35,34.9735,59.41,22100100,217,83.1,66.7,1020.8,10,11.1,91,0.11459,0.5209,0.2474,0.1371,0.3457,0.4548,0.4815,0.01903,0.01838,0.4956,1.6798
07-10-2012,34,125,22.815,2.51441,41.876,16202000,281,64.8,55.1,1021.9,13.6,9.9,69.3,0.36185,0.5333,0.1014,0.0659,0.21,0.153,0.1504,0.0021,0.00165,1.1124,1.9117
30-05-2013,37,130,17.165,1.57402,63.498,10000000,150,70.6,49.3,1009.7,13.7,6,82.2,0.03729,0.1246,0.0812,0.0759,0.3409,0.4611,0.4902,0.00684,0.00612,0.0605,0.3705
03-06-2013,34,128,17.82,0.54754,63.474,35000000,154,69.4,59.7,1013.1,12.4,6,75.2,0.09304,0.1162,0.0542,0.0697,0.3244,0.4238,0.4495,0.00384,0.00326,0.1433,1.6323
28-06-2013,34,125,21.385,0.61835,63.798,20500000,179,72.2,65.8,1007.2,10.8,4.1,78.4,??,,,,,,,,,,
08-08-2013,37,130,26.93,1.92857,59.09,10000000,220,90.2,73.7,1002.8,10.7,9.9,100,0.04552,0.1433,0.1005,0.0838,0.3511,0.483,0.5142,0.00525,0.00462,0.0346,1.9716
13-08-2013,36,130,24.835,86.13591,58.336,10000000,225,89.4,72,1009.3,11.8,8,99,0.04414,0.1629,0.1161,0.0926,0.3595,0.5004,0.5333,0.00696,0.00627,0.0252,2.0596
11-08-2014,-34.95,-54.933333,-4.275,14.22,20.788,44000000,223,52,37.4,1017.3,6.2,8.9,55.2,??,,,,,,,,,,
15-03-2015,1.451667,103.745556,9.615,,27.454,200000000,74,83.2,72.4,9999.9,6.2,12,87.8,??,,,,,,,,,,
07-09-2015,6.231667,102.098889,32.325,3.64058,55.992,23000000,250,83,74.5,1010.9,5.9,8.9,91.4,0.03786,0.179,0.1064,0.0877,0.3453,0.4682,0.4978,0.02087,0.01973,0.1093,1.7794
30-09-2015,30.11865,-85.732108,27.51,19.98715,45.734,10883333,273,78.5,74.5,1008.9,8.7,12,85.3,0.0673,1.2414,0.8716,0.5371,0.7326,1.2557,1.3642,0.06408,0.06151,-0.0692,0.3464
14-10-2015,27.17343,-82.52323,28.625,42.21106,44.554,32560000,287,76.7,70.8,9999.9,10,8.9,84.2,0.06499,0.4171,0.3103,0.1947,0.4555,0.6981,0.7504,0.02215,0.0284,-0.0593,1.3599
15-10-2015,27.17345,-82.52323,28.62,5.03699,45.01,31980000,288,78.2,67.4,9999.9,10,13,87.8,0.06023,0.4957,0.3603,0.224,0.4778,0.7424,0.7991,0.233,0.2198,-0.0455,1.5976
09-11-2015,27.77624,-82.77021,25.075,6.68925,35.66,36120000,313,77.2,74,1015.6,9.4,12,84,??,,,,,,,,,,
24-11-2015,27.3316,-82.5779,21.805,16.9934,32.304,10000000,328,61.8,48.8,1022.2,10,15,75.9,??,,,,,,,,,,
25-11-2015,27.3316,-82.5779,5.88,0.30803,20.176,41900000,329,68.1,56.7,1023.4,10,17.1,81,0.17836,0.0482,0.0456,0.0591,0.3339,0.4494,0.4776,0.0024,0.00192,-0.0063,1.0313
29-01-2016,27.310017,-82.577069,6.16,,32.52,35267000,29,58.4,49,1016.7,10,13,66.9,0.07666,0.8269,0.5544,0.3719,0.5764,0.9335,1.0105,0.13772,1.3382,0.0707,
02-02-2016,27.3316,-82.5779,19.2,12.9685,30.496,21400000,33,69.5,66.4,1016.3,5.6,13,82,??,,,,,,,,,,1.9868
20-05-2016,-13.732778,-76.225833,27.255,83.10939,42.2,10100000,141,67.9,62.9,1013.3,4,9.9,73.4,0.3391,0.8084,0.4149,0.2231,0.4038,0.5675,0.605,0.2727,0.2649,0.6143,1.1655
25-09-2016,27.26497,-82.553479,37.51,54.76847,449.798,22299667,269,82.6,72,1015.3,10,13,93,0.06028,0.5311,0.3866,0.2667,0.509,0.8041,0.868,0.04415,0.04225,-0.0639,1.044
28-09-2016,26.92467,-82.36189,21.815,,32.914,48604333,272,79.5,73.1,1015.9,10,13,89.1,??,,,,,,,,,,
10-10-2016,27.507781,-82.714039,27.09,5.43621,43.044,60409023,284,77.1,62,1018.5,10,15.9,91.9,0.1288,0.1461,0.1295,0.0986,0.3695,0.5223,0.5574,0.01301,0.012,-0.0146,0.7567
12-10-2016,27.786967,-82.782583,27.355,2.66047,41.142,29849167,286,76,68.5,1017.6,10,18.1,82.9,0.00291,0.1898,0.1147,0.0906,0.3484,0.4747,0.504,0.02794,0.02663,0.1063,0.8366
14-10-2016,27.62159,-82.734419,27.595,12.83068,44.106,10379205,288,78.1,69.6,1018.8,10,17.1,84,0.03152,0.8227,0.5677,0.3457,0.5695,0.9246,0.9994,0.0324,0.3101,0.0149,1.3885
13-11-2016,27.21843,-82.51711,26.645,27.8472,36.494,23600000,318,69.1,58,1017.8,9.9,9.9,82.9,0.49366,0.376,0.1044,0.0286,0.2397,0.2349,0.2385,0.00522,0.00476,0.6864,1.8457
30-11-2016,27.3316,-82.5779,17.93,,30.864,10800000,335,72.6,66.9,1014.1,10,18.1,82.9,??,,,,,,,,,,
01-12-2016,27.3316,-82.5779,22.415,,20.32,17680000,336,73.3,70.1,1014.6,9.1,12,81,??,,,,,,,,,,
03-05-2017,28.5,-80.533333,26.275,31.461,60.804,17643865,123,76.1,64.3,1016.6,10,14,85.8,0.0113,0.1261,0.082,0.0767,0.3414,0.4622,0.4914,0.02897,0.0273,0.0609,0.5013
19-05-2017,38.097778,-75.278611,23.37,7.53643,61.434,101024000,139,76.9,68.1,1015.3,10,13,89.1,0.03434,2.4577,1.5473,0.8469,0.9243,1.6199,1.7608,0.24291,0.23703,0.5793,0.9606
16-06-2017,27,-81,31.945,8.172,63.018,11200000,167,74.6,70.5,9999.9,7.2,22,87.8,??,,,,,,,,,,
18-01-2018,13.2925,-87.783889,29.01,8.74432,47.248,783740000,18,80.6,58.1,9999.9,999.9,20,86,0.08193,1.4795,1.0007,0.5187,0.7171,1.2239,1.3253,0.12223,0.11807,0.0978,0.1994
24-01-2018,-6.928611,-79.869722,26.905,64.70107,60.136,96000000,24,76.5,64.3,1009.4,6.2,15,84.9,0.08007,4.7042,3.3605,1.7985,1.8612,3.5632,3.8948,0.13977,0.13406,,1.8414
28-05-2018,-11.570278,-77.271944,15.68,15.48,20.878,33300000,148,59.9,56.8,1014.9,3.1,9.9,67.5,??,,,,,,,,,,
25-06-2018,26.813567,-82.288333,31.26,52.76684,62.806,18392869,176,80.2,74.8,9999.9,9.7,14,89.6,0.05029,0.3293,0.2097,0.1443,0.3928,0.5641,0.6032,0.01262,0.01182,0.1058,1.6969
28-06-2018,26.92467,-82.36189,32.47,1.05234,62.39,27746720,179,85,75.6,9999.9,9.6,12,91.4,0.01572,0.0897,0.0646,0.0688,0.338,0.4564,0.4851,0.00797,0.00715,0.0306,0.5743
02-07-2018,27.07827,-82.45286,7.14,6.18876,15.498,14800000,183,83.5,76.3,9999.9,9.5,8.9,91.4,??,,,,,,,,,,
03-07-2018,27.06631,-82.448,33.41,2.31637,62.406,14300000,184,81.9,74.4,9999.9,9.3,21,93.2,0.04231,0.991,0.0715,0.0722,0.3412,0.463,0.4924,0.00975,0.00883,0.0286,1.5698
03-07-2018,27.05703,-82.4436,33.41,2.9357,62.406,23400000,184,81.9,74.4,9999.9,9.3,21,93.2,0.03847,0.0821,0.0592,0.0669,0.3363,0.4527,0.4812,0.00777,0.00692,0.0309,1.619
03-07-2018,27.01031,-82.41312,31.8,2.55119,61.988,23900000,184,81.9,74.4,9999.9,9.3,21,93.2,0.03941,0.0778,0.0568,0.0659,0.3356,0.4514,0.4797,0.00734,0.0065,0.0288,1.5575
19-07-2018,27.035835,-82.428738,7.745,,56.326,21544068,200,85.8,75.8,9999.9,9.2,12,91.4,??,,,,,,,,,,
02-08-2018,27.3316,-82.5779,31.99,10.70638,59.3918,16320000,214,82.9,75.7,1017.1,10,14,91,0.08801,0.1064,0.0816,0.0743,0.3459,0.4734,0.5037,0.00956,0.00863,0.0092,0.1721
05-08-2018,26.43925,-81.96615,14.86,,44.21,27698722,217,81.3,74.5,1020.1,9.8,13,91.9,??,,,,,,,,,,
09-08-2018,27.33375,-82.57938,34.225,7.30917,58.902,14560000,221,82.3,75.8,1018.6,10,11.1,91,0.10378,4.3274,2.9973,1.5861,1.6348,3.0883,3.3721,0.21324,0.20474,-0.1214,0.0773
10-08-2018,27.3316,-82.5779,15.605,16.35128,32.576,12880000,222,84.3,75.9,1017.6,10,12,90,??,,,,,,,,,,
14-08-2018,27.3316,-82.5779,31.975,47.77468,,82800000,226,81.9,74.4,1017.1,10,21,89.1,0.07374,0.8547,0.6251,0.3594,0.6017,0.9968,1.0781,0.05805,0.05535,-0.1244,1.8704
15-08-2018,26.4217,-82.0801,35.175,34.97275,59.296,10661280,227,80.2,72.3,1018.2,9.6,15,91.9,0.04457,0.577,0.3927,0.2425,0.4816,0.7461,0.8031,0.02192,0.02079,0.0484,0.0639
15-08-2018,27.3316,-82.5779,33.39,75.04774,59.284,48200000,227,80.5,73,1017.8,10,9.9,91,0.03716,0.21,0.1154,0.0903,0.3419,0.4594,0.488,0.00898,0.0083,0.1595,0.2435
16-08-2018,26.2073,-81.8169,35.03,6.50284,53.606,16431439,228,81.5,73.9,1019.3,9.7,19,93,??,,,,,,,,,,
17-08-2018,27.263477,-82.551789,37.045,64.60069,56.364,15324855,229,82.3,74.4,1020.8,10,13,91.9,0.02194,0.1874,0.1182,0.926,0.3526,0.4839,0.515,0.00805,0.00736,0.0854,1.4781
20-08-2018,27.37317,-82.63202,31.54,6.6099,58.798,22720000,232,80.7,73.5,1017.9,10,13,91.9,0.15543,0.298,0.2344,0.1497,0.4212,0.6298,0.6753,0.01278,0.01182,-0.0795,2.1346
20-08-2018,27.31561,-82.58171,34.125,4.9499,58.492,15520000,232,80.7,73.5,1017.9,10,13,91.9,0.14728,0.1656,0.1303,0.959,0.3688,0.5215,0.5564,0.00827,0.00748,-0.0231,0.9226
20-08-2018,27.311,-82.57718,34.125,4.27183,58.398,25280000,232,80.7,73.5,1017.9,10,13,91.9,0.18005,0.2828,0.2259,0.142,0.416,0.6199,0.6643,0.1216,0.1122,-0.0853,2.1346
20-08-2018,27.12332,-82.47122,17.515,1.0779,52.246,22000000,232,81.7,74.2,9999.9,10,9.9,91.4,0.10326,0.0866,0.07,0.0688,0.342,0.4657,0.4953,0.00614,0.0054,0.0017,0.424
20-08-2018,27.11382,-82.46883,15.525,0.6703,52.246,16720000,232,81.7,74.2,9999.9,10,9.9,91.4,0.09528,0.0973,0.0781,0.0721,0.3453,0.4727,0.503,0.00675,0.00599,-0.0013,0.5577
20-08-2018,27.034646,-82.427985,0.05,0.59302,41.774,23746086,232,81.7,74.2,9999.9,10,9.9,91.4,0.07384,0.0656,0.0547,0.0634,0.3365,0.4543,0.4829,0.00593,0.00517,0.0045,0.5112
21-08-2018,27.4362,-82.69012,6.51,25.8655,15.41,17832570,233,81.9,73.8,1018.6,10,9.9,91.9,??,,,,,,,,,,
21-08-2018,27.4003,-82.6515,4.17,25.86655,27.284,15354612,233,81.9,73.8,1018.6,10,9.9,91.9,0.05335,1.6579,1.1968,0.7237,0.9063,1.613,1.7571,0.10091,0.097,-0.241,0.8173
23-08-2018,26.2073,-81.8169,15.64,11.30807,,32881485,235,82.6,75.3,1015.6,9.8,8.9,90,0.08016,0.185,0.132,0.0989,0.3656,0.5129,0.547,0.01014,0.00927,0.0227,2.138
29-08-2018,26.4217,-82.0801,1.07,,25.446,10709160,241,78,72.6,1019.2,10,11.1,90,??,,,,,,,,,,
29-08-2018,26.45157,-82.01543,28.69,,48.86,19044480,241,78,72.6,1019.2,10,11.1,90,??,,,,,,,,,,
10-09-2018,27.10034,-82.46089,3.25,,51.81,10560000,253,84.3,75.9,9999.9,9.6,11.1,89.6,??,,,,,,,,,,
10-09-2018,27.01031,-82.41312,-1.255,,36.83,36160000,253,84.3,75.9,9999.9,9.6,11.1,89.6,??,,,,,,,,,,
11-09-2018,26.92467,-82.36189,7.16,,45.748,31170457,254,83.5,76.5,9999.9,9.7,8.9,91.4,??,,,,,,,,,,
12-09-2018,27.3316,-82.5779,34.07,33.68287,52.988,10560000,255,84.4,76.4,1014.3,10,9.9,93.9,??,,,,,,,,,,
16-09-2018,26.6278,-82.26437,31.365,2.97845,52.07,21841638,259,86.9,75.4,1012.3,10,11.1,91,??,,,,,,,,,,
17-09-2018,27.8121,-82.81915,35.95,54.90147,51.782,51063420,260,84.1,75.9,1014.2,10,8.9,91,0.07793,1.4212,1.03,0.5958,0.8045,1.4086,1.5311,0.07443,0.07126,-0.2065,1.2614
17-09-2018,27.462064,-82.699179,34.61,22.38598,51.068,11132100,260,84.6,76.5,1013.8,10,8.9,90,??,,,,,,,,,,
17-09-2018,27.812302,-82.818962,35.95,54.90147,51.782,18294466,260,84.1,75.9,1014.2,10,8.9,91,0.07867,1.4448,1.0752,0.5894,0.8191,1.445,1.57,0.08877,0.08482,-0.3147,1.0357
17-09-2018,27.37317,-82.63202,35.12,73.97839,52.194,15360000,260,84.6,76.5,1013.8,10,8.9,90,??,,,,,,,,,,
18-09-2018,27.775667,-82.770817,36.94,7.13309,49.082,17407985,261,85.3,75.7,1013.9,10,12,91.9,0.08592,1.6301,1.1926,0.7191,0.9103,1.6238,1.769,0.10488,0.10078,-0.3008,0.8925
20-09-2018,26.45157,-82.01543,33.08,21.53664,51.704,14237750,263,82.6,75.3,1015.8,10,15.9,91.9,0.09792,0.4527,0.3294,0.1849,0.448,0.683,0.733,0.01563,0.01453,-0.0301,0.7426
17-10-2018,27.828833,-82.87085,29.585,79.07416,43.86,21271792,290,82.8,73.6,1019.3,10,9.9,91,??,,,,,,,,,,
21-10-2018,27.778889,-82.778452,30.915,40.49984,41.506,13645800,294,80.1,70.4,1015.9,10,18.1,86,0.07158,1.6693,1.1171,0.7078,0.8433,1.4688,1.5995,0.10794,0.10479,0.1096,0.3895
23-10-2018,27.872283,-80.477017,30.5,5.75018,41.338,10891062,296,75.9,62.2,1018.3,10,8.9,84.9,0.05426,0.2751,0.1987,0.1469,0.01523,0.5953,0.6379,0.02124,0.02005,-0.0034,0.0001
24-10-2018,27.736603,-82.731398,31.025,21.90061,41.204,20413302,297,77.8,67.8,1016.2,10,15.9,84.9,0.0945,1.0449,0.5113,0.2515,0.3997,0.5494,0.5837,0.02387,0.0232,0.0077,0.4242
29-10-2018,27.653233,-82.6757,24.74,49.14795,36.558,26135589,302,72.6,60.2,1019.5,10,9.9,82,0.05649,1.0299,0.7716,0.4442,0.6847,1.1687,1.2673,0.04686,0.04464,-0.237,1.2889
06-11-2018,27.3316,-82.5779,21.61,23.35279,36.26,13300000,310,72.2,70.4,1016.1,10,6,84,0.05308,1.7297,1.185,0.7623,0.8984,1.5836,1.7265,0.07045,0.06865,-0.0058,0.2956
07-11-2018,27.8121,-82.81915,28.39,80.61966,37.632,61882703,311,76.6,71,1016.4,9.9,8.9,88,0.05355,0.8832,0.2816,0.0533,0.1899,0.1095,0.097,0.00516,0.0047,0.11,2.1358
07-11-2018,27.3316,-82.5779,27.38,75.30225,37.942,44500000,311,75.1,70.4,1015.8,9.8,8.9,84.9,0.04462,0.6517,0.2167,0.0596,0.2334,0.211,0.2106,0.00745,0.00697,0.1162,-0.1208
07-11-2018,26.679033,-82.573567,27.585,19.38634,38.414,40469520,311,76.5,71.1,9999.9,9.8,9.9,86,0.06316,1.1454,0.649,0.3691,0.5234,0.8088,0.8706,0.02454,0.02367,0.0522,1.1283
07-11-2018,27.33375,-82.57938,27.38,66.03304,37.942,10100000,311,75.1,70.4,1015.8,9.8,8.9,84.9,0.04462,0.5617,0.1752,0.0441,0.2291,0.2053,0.2047,0.00583,0.00537,0.1162,0.0262
07-11-2018,26.699933,-82.572467,28.075,61.61192,38.402,17755009,311,76.5,71.1,9999.9,9.8,9.9,86,0.06329,0.8818,0.2731,0.0679,0.2184,0.1728,0.1674,0.00519,0.00473,0.0369,2.094
08-11-2018,27.33375,-82.57938,27.695,29.95888,33.722,13200000,312,78.6,71.7,1015.4,10,9.9,88,0.15925,1.9838,1.3135,0.8182,0.9251,1.6307,1.7775,0.05733,0.05596,-0.0034,2.1341
08-11-2018,27.6372,-83.0622,26.13,69.26361,37.394,67254526,312,78.5,71.5,1015.5,10,7,87.1,0.19934,0.6651,0.2128,0.0508,0.221,0.184,0.1806,0.00336,0.0029,0.0704,2.0651
14-11-2018,27.8121,-82.81915,28.17,51.0545,32.742,26710056,318,77.1,72.9,1017.1,9.6,11.1,86,0.04567,2.5946,1.6458,0.9321,0.9912,1.754,1.9095,0.1186,0.11526,-0.138,-0.0729
18-11-2018,26.798,-82.231,15.805,15.49396,35.678,10948560,322,66.4,58.8,1020,9.8,8,79,0.01756,0.0209,0.024,0.0549,0.3278,0.4363,0.4635,0.00421,0.00353,0.0043,1.423
19-11-2018,26.7973,-82.247033,3.17,,31.08,19813966,323,74.1,65.8,1018.9,9.9,8,82.9,0.02307,0.0252,0.0259,0.0555,0.3282,0.4371,0.4643,0.00441,0.00372,0.0063,1.423
19-11-2018,26.61003,-82.29105,12.12,,31.174,50200000,323,75.6,66.9,1018.1,10,8.9,86,0.03501,0.023,0.0272,0.0557,0.3285,0.4376,0.4649,0.00479,0.00406,0.0064,0.9693
19-11-2018,26.50312,-82.27413,13.835,,12.814,23300000,323,75.6,66.9,1018.1,10,8.9,86,0.03488,0.0279,0.0274,0.0559,0.3285,0.4375,0.4648,0.00471,0.00399,0.008,0.9183
21-11-2018,27.3316,-82.5779,26.59,10.08776,34.536,15200000,325,68.4,58.5,1020.2,9.5,11.1,75.9,0.03988,0.2146,0.1468,0.1059,0.369,0.5189,0.5535,0.01005,0.00924,0.0451,0.0059
02-01-2019,27.3,-82.62,23.22,10.8037,32.29,186266667,2,72.1,65.4,1020.1,8.8,8.9,84,0.0204,0.3179,0.1135,0.058,0.2836,0.3305,0.3447,0.0183,0.01336,0.0553,2.1278
14-01-2019,26.022033,-82.108233,20.435,3.87842,35.094,77295560,14,66.8,9999.9,1020.9,999.9,14,71.6,0.00677,0.2702,0.1633,0.1138,0.3653,0.5079,0.5412,0.01977,0.01882,0.1326,0.4622
10-05-2019,68.501667,17.434444,,,,14900000,130,49.5,25.2,9999.9,999.9,19.4,54.9,,,,,,,,,,,
24-10-2019,26.25375,-81.82377,25.25,6.63606,36.018,10470772,297,83.8,72.7,1016.3,9.8,12,95,0.04666,0.4522,0.3223,0.2188,0.467,0.7184,0.7733,0.05036,0.0482,-0.02,1.0359
04-11-2019,26.5902,-82.1561,2.605,,28.89,10446177,308,79.1,68.6,1016.9,10,8,89.1,,,,,,,,,,,
05-11-2019,26.692,-82.291483,-4.535,,30.978,38069323,309,80.7,9999.9,1018,999.9,8,88.7,0.08138,4.6637,3.2625,1.7639,1.7941,3.4143,3.7317,0.22322,0.21451,-0.2801,0.0233
06-11-2019,26.4217,-82.0801,31.185,47.40198,37.34,16145042,310,80.8,9999.9,1020.2,999.9,12,87.6,,,,,,,,,,,
06-11-2019,26.92467,-82.36189,25.745,2.56058,29.406,17694669,310,79.9,73.3,9999.9,7.4,17.1,89.6,,,,,,,,,,,
06-11-2019,26.80562,-82.27415,29.32,6.07777,38.206,12692642,310,77.9,71.9,1020.4,9.9,13,90,,,,,,,,,,,
12-11-2019,26.538,-82.1257,18.115,48.47526,36.914,20945502,316,74.3,62,1014.8,10,8,86,0.10158,0.8258,0.3008,0.0937,0.2467,0.2326,0.2336,0.01481,0.01435,0.0518,0.4306
12-11-2019,26.5767,-82.1347,18.335,32.61341,36.246,32849780,316,74.3,62,1014.8,10,8,86,0.08191,1.1753,0.765,0.4865,0.658,1.0937,1.1863,0.08556,0.08334,-0.1628,0.2372
12-11-2019,26.798,-82.231,18.46,22.27108,36.826,53724050,316,70.7,63.5,1015.4,8.1,9.9,84.9,0.098,4.0024,2.8263,1.448,1.553,2.9344,3.2016,0.11156,0.10707,-0.312,-0.1582
14-11-2019,26.83511,-82.261743,2.605,,14.346,17468092,318,71.1,64.7,1017.8,10,15.9,82,??,,,,,,,,,,
15-11-2019,26.826517,-82.272167,,,8.864,10435891,319,73.2,71,1014.9,9.6,11.1,82,??,,,,,,,,,,
18-11-2019,26.7117,-82.2583,20.575,50.74036,35.59,23909014,322,60.5,9999.9,1011.5,999.9,8.9,74.1,0.0927,0.5246,0.3046,0.1978,0.4182,0.6087,0.6521,0.04139,0.04028,0.0548,0.9799
18-11-2019,26.488,-82.1815,22.76,25.46147,35.78,26581147,322,61.2,9999.9,1012.4,999.9,11.1,71.8,0.05675,1.5039,1.0869,0.6609,0.8523,1.5033,1.6365,0.08747,0.08402,-0.2203,0.3146
18-11-2019,26.538,-82.1257,21.815,27.3346,35.864,38515613,322,62.2,54,1011.8,7.5,8.9,77,0.06069,1.6645,2.0781,1.3166,1.3568,2.5097,2.7465,0.15189,0.14802,-0.1269,0.6904
18-11-2019,26.5767,-82.1347,11.63,27.334,33,21799395,322,62.2,54,1011.8,7.5,8.9,77,0.0056,0.5246,1.0276,0.6112,0.7294,1.2668,1.3313,0.05822,0.05719,-0.1269,0.8001
18-11-2019,26.6798,-82.2196,18.68,50.74036,35.896,11606090,322,60.5,9999.9,1011.5,999.9,8.9,74.1,0.0927,0.404,0.1293,0.0465,0.2565,0.2696,0.2768,0.05822,0.0095,0.0548,0.9799
18-11-2019,26.1965,-81.8164,17.295,37.93637,35.512,11332940,322,63.1,55.9,1011.5,9.7,7,75,0.06406,0.899,0.8434,0.5506,0.7381,1.265,1.3756,0.00996,0.06849,-0.08,0.343
